aqc,net.minecraft.world.chunk.storage.IChunkLoader
amd,net.minecraft.block.BlockMycelium
aag,net.minecraft.inventory.ContainerEnchantment
aie,net.minecraft.world.biome.WorldChunkManagerHell
aub,net.minecraft.world.gen.structure.ComponentScatteredFeaturePieces$DesertPyramid
bue,net.minecraft.client.stream.ChatController
bqf,net.minecraft.client.renderer.texture.TextureManager
bei,net.minecraft.client.gui.achievement.GuiAchievements
bih,net.minecraft.client.model.ModelSquid
bmg,net.minecraft.client.shader.Framebuffer
na,net.minecraft.client.network.NetHandlerHandshakeMemory
jb,net.minecraft.network.play.client.C02PacketUseEntity$Action
fc,net.minecraft.util.MessageDeserializer2
bd,net.minecraft.command.server.CommandPardonIp
amw,net.minecraft.block.BlockPumpkin
aey,net.minecraft.item.crafting.RecipeFireworks
aaz,net.minecraft.inventory.ContainerDispenser
aix,net.minecraft.world.biome.BiomeGenEnd
z,net.minecraft.command.CommandHandler
bqy,net.minecraft.client.resources.IResourceManager
nt,net.minecraft.server.management.PlayerProfileCache$1
ju,net.minecraft.network.login.server.S00PacketDisconnect
fv,net.minecraft.network.play.INetHandlerPlayClient
abn,net.minecraft.item.ItemSoup
afm,net.minecraft.enchantment.EnchantmentArrowDamage
brm,net.minecraft.client.resources.SkinManager$3
aqu,net.minecraft.world.gen.ChunkProviderFlat
aut,net.minecraft.world.gen.structure.StructureStrongholdPieces$Prison
ays,net.minecraft.world.storage.WorldInfo
bbq,net.minecraft.util.MinecraftError
bfp,net.minecraft.util.EnchantmentNameParts
bjo,net.minecraft.client.multiplayer.ServerData$ServerResourceMode
bnn,net.minecraft.client.renderer.entity.RenderManager
ck,net.minecraft.dispenser.IBlockSource
zp,net.minecraft.entity.projectile.EntityWitherSkull
vq,net.minecraft.entity.ai.EntityAINearestAttackableTarget$Sorter
rr,net.minecraft.potion.PotionAbsoption
ns,net.minecraft.server.management.PlayerProfileCache
anj,net.minecraft.block.BlockSapling
afl,net.minecraft.item.crafting.RecipesWeapons
ajk,net.minecraft.block.Block$2
avh,net.minecraft.world.gen.structure.MapGenStructure$3
bce,net.minecraft.client.gui.GuiLabel
bgd,net.minecraft.client.gui.ServerListEntryNormal$1
brl,net.minecraft.client.resources.SkinManager$2
we,net.minecraft.entity.passive.EntityBat
og,net.minecraft.server.management.PreYggdrasilConverter$7
kh,net.minecraft.network.status.INetHandlerStatusServer
gi,net.minecraft.network.play.server.S3APacketTabComplete
aca,net.minecraft.creativetab.CreativeTabs$4
azz,net.minecraft.scoreboard.Score
bgc,net.minecraft.client.gui.ServerListEntryNormal
boa,net.minecraft.client.renderer.entity.RenderItem$2
wx,net.minecraft.entity.IEntityMultiPart
sy,net.minecraft.entity.IEntityLivingData
oz,net.minecraft.network.rcon.RConThreadClient
aoq,net.minecraft.tileentity.TileEntityBeacon
akr,net.minecraft.block.BlockDynamicLiquid
act,net.minecraft.item.ItemFishFood
ags,net.minecraft.block.BlockEventData
